> Air Mass 1.5 spectrum "Global Tilt" "edition 2", normalised to 1 sun (1000 W/m2)
> Global tilt = spectral radiation from solar disk plus sky diffuse and diffuse reflected from ground on south facing surface tilted 37 deg from horizontal
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5G ed.2 spectrum (summing the data in the second column) is 1000.40617707 W/m2
> Tn this table, the spectrum is normalised to 1 sun incident power (1000 W/m2)
> by multiplying the second column with 1000/1000.40617707
>
>lambda (nm)	P(W/m2)
1041.0	6.714873E-01
1042.0	6.717272E-01
1043.0	6.649799E-01
1044.0	6.680586E-01
1045.0	6.642502E-01
1046.0	6.468773E-01
1047.0	6.566733E-01
1048.0	6.624709E-01
1049.0	6.586925E-01
1050.0	6.543642E-01
1051.0	6.549440E-01
1052.0	6.509156E-01
1053.0	6.489264E-01
1054.0	6.461975E-01
1055.0	6.482067E-01
1056.0	6.461475E-01
1057.0	6.445582E-01
1058.0	6.379209E-01
1059.0	6.184988E-01
1060.0	6.355918E-01
1061.0	6.209578E-01
1062.0	6.324031E-01
1063.0	6.221373E-01
1064.0	6.317034E-01
1065.0	6.288746E-01
1066.0	6.168794E-01
1067.0	6.200681E-01
1068.0	6.191885E-01
1069.0	5.860220E-01
1070.0	6.044445E-01
1071.0	6.163596E-01
1072.0	6.151102E-01
1073.0	6.033849E-01
1074.0	6.213276E-01
1075.0	5.922794E-01
1076.0	6.144604E-01
1077.0	6.040946E-01
1078.0	6.029651E-01
1079.0	6.044945E-01
1080.0	5.969775E-01
1081.0	5.805942E-01
1082.0	5.891607E-01
1083.0	5.978971E-01
1084.0	5.782851E-01
1085.0	5.930591E-01
1086.0	5.538750E-01
1087.0	5.667398E-01
1088.0	5.929292E-01
1089.0	5.789548E-01
1090.0	5.555044E-01
1091.0	5.881111E-01
1092.0	5.810040E-01
1093.0	5.103727E-01
1094.0	5.394309E-01
1095.0	5.204586E-01
1096.0	5.030257E-01
1097.0	5.782851E-01
1098.0	5.027058E-01
1099.0	5.075139E-01
1100.0	4.855728E-01
1101.0	4.967582E-01
1102.0	4.686396E-01
1103.0	4.661806E-01
1104.0	4.674601E-01
1105.0	5.062344E-01
1106.0	3.977584E-01
1107.0	4.828439E-01
1108.0	4.154812E-01
1109.0	4.126124E-01
1110.0	4.787955E-01
1111.0	3.314054E-01
1112.0	4.134021E-01
1113.0	2.683910E-01
1114.0	2.997283E-01
1115.0	2.497685E-01
1116.0	2.012782E-01
1117.0	7.958567E-02
1118.0	2.174417E-01
1119.0	1.131241E-01
1120.0	1.418324E-01
1121.0	1.857845E-01
1122.0	8.165283E-02
1123.0	1.281180E-01
1124.0	1.086559E-01
1125.0	1.442214E-01
1126.0	5.156805E-02
1127.0	1.571862E-01
1128.0	9.918371E-02
1129.0	1.058670E-01
1130.0	7.054535E-02
